driver_gender,driver_sobriety_condition,driver_age,driver_aggressive_driving,vehicle_type,vehicle_year,vehicle_maneuver,road_alignment,road_surface_condition,crash_location,crash_type,traffic_control,season,day_of_week,crash_time,light_condition,weather_condition,area type,INJURY_SEVERITY
Male,Sober,21-25,N,Pickup,5-10 Years,Slowing,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Winter,weekday,Day Off-Peak,Daylight,Clear,Rural,not_serious
Male,Sober,21-25,N,Car,5-10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekday,Morning Off-Peak,Dark-Lighted,Clear,Rural,not_serious
Male,Sober,51-60,N,Van,>10 Years,Stopped,Curve,Wet,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Day Off-Peak,Daylight,Cloudy,Urban,not_serious
Female,Sober,41-50,N,Car,5-10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Morning Peak,Daylight,Clear,Rural,not_serious
Female,Sober,51-60,N,Car,5-10 Years,Stopped,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Morning Peak,Daylight,Clear,Rural,not_serious
Female,Sober,21-25,N,Car,<5 Years,Stopped,Straight,Dry,Intersection,Rear End,Signalized Control,Summer,weekday,Night Off-Peak,Dusk,Clear,Urban,not_serious
Male,Sober,31-40,N,Car,5-10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Summer,weekday,Day Off-Peak,Daylight,Cloudy,Rural,not_serious
Male,Sober,60+,N,Car,<5 Years,Slowing,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Summer,weekday,Day Off-Peak,Daylight,Cloudy,Rural,not_serious
Male,Sober,51-60,N,Car,5-10 Years,Straight,Straight,Dry,Not Intersection,Angle,Uncontrolled,Summer,weekend,Afternoon Peak,Dusk,Cloudy,Rural,not_serious
Female,Sober,26-30,N,Car,5-10 Years,Straight,Curve,Dry,Not Intersection,Other,Uncontrolled,Winter,weekday,Day Off-Peak,Daylight,Clear,Rural,not_serious
Female,Sober,21-25,N,SUV,>10 Years,Straight,Curve,Dry,Not Intersection,Rear End,Signalized Control,Summer,weekday,Day Off-Peak,Daylight,Clear,Urban,not_serious
Female,Sober,31-40,N,Car,<5 Years,Straight,Curve,Wet,Intersection,Other,Uncontrolled,Summer,weekday,Day Off-Peak,Daylight,Cloudy,Rural,not_serious
Male,Sober,60+,N,Car,>10 Years,Straight,Straight,Dry,Not Intersection,Other,Uncontrolled,Winter,weekday,Day Off-Peak,Daylight,Cloudy,Rural,not_serious
Male,Sober,41-50,N,Pickup,5-10 Years,Straight,Straight,Wet,Not Intersection,Other,Uncontrolled,Autumn,weekday,Morning Off-Peak,Dawn,Rain,Rural,not_serious
Male,Sober,41-50,N,Car,5-10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Day Off-Peak,Daylight,Clear,Rural,not_serious
Female,Sober,51-60,N,Car,5-10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Day Off-Peak,Daylight,Clear,Rural,serious
Male,Sober,60+,N,Car,<5 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Day Off-Peak,Daylight,Clear,Rural,not_serious
Female,Sober,51-60,N,Car,>10 Years,Lane Changing,Straight,Dry,Not Intersection,Other,Uncontrolled,Summer,weekend,Day Off-Peak,Daylight,Cloudy,Rural,serious
Female,Sober,31-40,N,Car,>10 Years,Straight,Straight,Wet,Not Intersection,Rear End,Uncontrolled,Summer,weekday,Day Off-Peak,Daylight,Cloudy,Rural,not_serious
Male,Sober,60+,N,Pickup,5-10 Years,Slowing,Straight,Wet,Not Intersection,Rear End,Uncontrolled,Summer,weekday,Day Off-Peak,Daylight,Cloudy,Rural,not_serious
Male,Sober,21-25,N,Car,5-10 Years,Straight,Straight,Wet,Not Intersection,Head-On,Uncontrolled,Winter,weekend,Day Off-Peak,Daylight,Rain,Rural,serious
Female,Sober,31-40,N,SUV,5-10 Years,Straight,Straight,Wet,Not Intersection,Head-On,Uncontrolled,Winter,weekend,Day Off-Peak,Daylight,Rain,Rural,serious
Female,Sober,15-20,N,Car,>10 Years,Straight,Straight,Dry,Not Intersection,Sideswipe,Uncontrolled,Winter,weekday,Day Off-Peak,Daylight,Clear,Urban,not_serious
Male,Sober,60+,N,Car,<5 Years,Straight,Straight,Dry,Not Intersection,Other,Uncontrolled,Autumn,weekday,Day Off-Peak,Daylight,Clear,Rural,serious
Male,Sober,31-40,N,Car,5-10 Years,Straight,Straight,Wet,Not Intersection,Other,Uncontrolled,Autumn,weekday,Morning Peak,Daylight,Rain,Rural,not_serious
Female,Sober,41-50,N,Car,>10 Years,Straight,Straight,Wet,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Morning Peak,Daylight,Rain,Rural,not_serious
